Date,Open,High,Low,Close,Adj Close,Volume
2019-06-10,48.080002,48.590000,47.700001,47.900002,44.758118,9861500
2019-06-11,48.669998,49.290001,48.150002,49.049999,45.832680,12867800
2019-06-12,48.730000,48.900002,47.869999,48.790001,45.589741,7644400
2019-06-13,49.570000,49.799999,49.139999,49.730000,46.468075,8013700
2019-06-14,49.759998,49.830002,49.200001,49.310001,46.075630,7779300
2019-06-17,49.290001,50.380001,48.959999,49.810001,46.542835,7424500
2019-06-18,50.049999,50.470001,49.750000,50.349998,47.047409,9473900
2019-06-19,50.230000,51.029999,50.000000,50.299999,47.000690,8907700
2019-06-20,51.080002,51.599998,50.570000,51.299999,47.935101,7389500
2019-06-21,51.430000,51.630001,50.450001,50.610001,47.290359,10298500
2019-06-24,50.330002,50.650002,49.680000,49.889999,46.617584,9648100
2019-06-25,49.619999,49.939999,49.340000,49.380001,46.141037,4574900
2019-06-26,49.869999,51.250000,49.610001,50.419998,47.112820,7025100
2019-06-27,50.360001,50.650002,49.610001,49.750000,46.486767,5387200
2019-06-28,49.849998,50.279999,49.540001,50.279999,46.982002,6752100
2019-07-01,51.000000,51.360001,49.680000,49.779999,46.514797,7251200
2019-07-02,49.770000,49.770000,47.950001,48.779999,45.580391,10160700
2019-07-03,48.869999,49.250000,48.549999,49.169998,45.944809,4435200
2019-07-05,49.130001,49.560001,48.869999,49.279999,46.047596,5613200
2019-07-08,49.250000,49.509998,49.009998,49.299999,46.066284,4740300
2019-07-09,49.270000,49.680000,48.700001,49.610001,46.355953,7461100
2019-07-10,50.080002,50.389999,49.450001,50.240002,46.944626,7594700
2019-07-11,50.419998,50.540001,50.070000,50.439999,47.131508,6399400
2019-07-12,50.570000,52.110001,50.400002,51.720001,48.327549,9102800
2019-07-15,51.820000,51.970001,51.299999,51.630001,48.243454,10130400
2019-07-16,51.290001,51.439999,50.700001,51.099998,47.748219,8790200
2019-07-17,51.029999,51.549999,50.910000,51.180000,47.822971,7615300
2019-07-18,51.000000,51.139999,50.619999,51.009998,47.664124,9689000
2019-07-19,51.040001,52.419998,50.849998,52.330002,48.897537,7196300
2019-07-22,52.349998,52.700001,51.470001,52.509998,49.065727,5995900
2019-07-23,52.619999,52.650002,51.590000,51.799999,48.402306,5822600
2019-07-24,51.849998,52.669998,51.820000,52.049999,48.635902,6096000
2019-07-25,52.230000,52.330002,51.029999,51.139999,47.785591,6627400
2019-07-26,51.259998,51.869999,51.080002,51.590000,48.206078,5452200
2019-07-29,51.570000,51.639999,50.299999,50.910000,47.570683,6412100
2019-07-30,50.680000,52.470001,50.520000,52.470001,49.028358,7420300
2019-07-31,52.250000,52.400002,50.790001,51.360001,47.991165,12342300
2019-08-01,51.000000,54.049999,50.919998,53.169998,49.682438,14069700
2019-08-02,53.000000,53.160000,50.770000,51.180000,47.822971,12206900
2019-08-05,50.250000,50.459999,49.099998,49.419998,46.178413,9977700
2019-08-06,49.630001,49.630001,46.759998,47.580002,44.459106,13008000
2019-08-07,46.689999,46.939999,44.880001,46.000000,42.982742,16687000
2019-08-08,46.570000,47.470001,45.139999,47.130001,44.038620,23937100
2019-08-09,46.849998,47.939999,46.799999,47.130001,44.038620,9879700
2019-08-12,46.950001,46.980000,44.930000,44.990002,42.038986,12558200
2019-08-13,44.740002,44.990002,44.009998,44.759998,41.824074,17633500
2019-08-14,43.790001,44.029999,43.080002,43.700001,40.833607,16953400
2019-08-15,43.599998,44.480000,43.150002,43.959999,41.076550,9352900
2019-08-16,44.130001,44.830002,44.009998,44.570000,41.646538,8513800
2019-08-19,44.790001,45.959999,44.750000,45.580002,42.590290,9850700
2019-08-20,45.610001,45.900002,45.160000,45.259998,42.291279,7379100
2019-08-21,45.090000,45.459999,44.169998,45.060001,42.104401,8500300
2019-08-22,45.259998,45.759998,44.689999,44.700001,41.768009,5863400
2019-08-23,44.049999,44.130001,42.169998,42.369999,39.590839,12545900
2019-08-26,42.939999,43.009998,41.830002,42.130001,39.366585,8304200
2019-08-27,42.590000,42.799999,41.830002,42.349998,39.572151,7322200
2019-08-28,42.580002,43.340000,42.509998,43.110001,40.282307,7084700
2019-08-29,43.400002,44.110001,43.290001,43.369999,40.525246,6651300
2019-08-30,43.520000,43.880001,42.790001,43.480000,40.628033,6881900
2019-09-03,42.860001,42.980000,42.369999,42.680000,39.880508,6917100
2019-09-04,43.299999,43.849998,43.189999,43.580002,40.721478,4837900
2019-09-05,43.939999,45.340000,43.939999,45.090000,42.132427,9679900
2019-09-06,44.950001,45.810001,44.549999,45.459999,42.478161,10958800
2019-09-09,45.000000,45.130001,44.529999,44.970001,42.763443,11069800
2019-09-10,45.299999,46.730000,45.220001,46.430000,44.151802,9770900
2019-09-11,46.500000,46.900002,45.669998,46.290001,44.018669,7662900
2019-09-12,45.759998,46.119999,45.180000,45.400002,43.172340,7403700
2019-09-13,46.000000,46.400002,44.959999,45.090000,42.877552,11149400
2019-09-16,47.610001,48.849998,47.380001,47.799999,45.454578,24116000
2019-09-17,47.919998,47.950001,45.139999,45.150002,42.934608,15436200
2019-09-18,44.849998,45.180000,44.400002,44.619999,42.430611,9732800
2019-09-19,45.000000,46.209999,44.790001,45.790001,43.543205,10491800
2019-09-20,45.990002,46.299999,45.259998,45.700001,43.457619,8589600
2019-09-23,45.360001,45.910000,44.970001,45.500000,43.267433,7298300
2019-09-24,45.480000,45.939999,45.119999,45.470001,43.238907,6503800
2019-09-25,45.110001,45.580002,44.700001,45.330002,43.105778,4324500
2019-09-26,45.049999,45.380001,44.410000,45.349998,43.124794,4958800
2019-09-27,45.040001,45.759998,44.799999,45.139999,42.925098,4515900
2019-09-30,45.000000,45.139999,44.130001,44.470001,42.287975,6520300
2019-10-01,44.669998,45.419998,43.680000,43.770000,41.622322,5229400
2019-10-02,43.639999,43.680000,42.740002,42.939999,40.833046,6041000
2019-10-03,42.750000,43.400002,42.259998,43.200001,41.080292,5679200
2019-10-04,43.099998,43.450001,42.549999,43.070000,40.956669,5109400
2019-10-07,42.900002,43.040001,42.169998,42.180000,40.110340,7449000
2019-10-08,41.900002,42.299999,40.820000,40.830002,38.826584,8741900
2019-10-09,41.360001,41.520000,40.450001,40.840000,38.836086,7057700
2019-10-10,40.950001,41.540001,40.549999,41.029999,39.016766,7686300
2019-10-11,41.509998,41.790001,41.070000,41.119999,39.102348,7375600
2019-10-14,41.029999,41.070000,39.970001,40.509998,38.522278,12931400
2019-10-15,40.410000,41.310001,40.270000,40.799999,38.798050,6216600
2019-10-16,40.700001,41.310001,40.320000,40.340000,38.360622,5658900
2019-10-17,40.369999,40.759998,40.070000,40.330002,38.351116,6484300
2019-10-18,40.349998,41.099998,40.349998,40.450001,38.465225,6972400
2019-10-21,40.570000,40.849998,40.279999,40.820000,38.817070,6592300
2019-10-22,40.900002,42.709999,40.770000,42.220001,40.148376,10472400
2019-10-23,42.070000,42.919998,41.840000,42.919998,40.814026,7655800
2019-10-24,43.000000,43.099998,41.910000,42.290001,40.214943,7127000
2019-10-25,42.290001,42.959999,42.200001,42.529999,40.443161,5270600
2019-10-28,42.669998,42.990002,42.259998,42.279999,40.205429,4644400
2019-10-29,42.000000,42.599998,41.529999,42.330002,40.252979,6373400
2019-10-30,42.330002,42.380001,41.180000,41.360001,39.330574,5558500
